sec,nanosec,frame_id,steering_angle,steering_angle_velocity,speed,acceleration,jerk
1741043561,558426033,,-0.24489447474479675,0.0,1.8921984434127808,0.0,0.0
1741043561,600134458,,-0.24489447474479675,0.0,1.8921984434127808,0.0,0.0
1741043561,620473432,,-0.19558085501194,0.0,1.8921984434127808,0.0,0.0
1741043561,630414149,,-0.11104027926921844,0.0,1.8921984434127808,0.0,0.0
1741043561,642675052,,-0.005369783844798803,0.0,1.8921984434127808,0.0,0.0
1741043561,653163934,,0.0,0.0,1.8921984434127808,0.0,0.0
1741043561,703942667,,0.0,0.0,1.8921984434127808,0.0,0.0
1741043561,760174259,,0.0,0.0,1.8921984434127808,0.0,0.0
1741043561,805470755,,0.0,0.0,1.5295213460922241,0.0,0.0
1741043561,825891523,,0.0,0.0,1.4777324199676514,0.0,0.0
1741043561,847121931,,0.0,0.0,1.3741543292999268,0.0,0.0
1741043561,887591783,,0.0,0.0,1.2187875509262085,0.0,0.0
1741043561,898080026,,0.0,0.0,1.063266396522522,0.0,0.0
1741043561,918710780,,0.0,0.0,1.3741543292999268,0.0,0.0
1741043561,938874201,,0.0,0.0,1.4777324199676514,0.0,0.0
1741043561,970098287,,0.0,0.0,1.2187875509262085,0.0,0.0
1741043562,20345429,,0.0,0.0,1.2187875509262085,0.0,0.0
1741043562,71156994,,0.0,0.0,1.2187875509262085,0.0,0.0
1741043562,122016847,,0.0,0.0,1.2187875509262085,0.0,0.0
1741043562,173007550,,0.0,0.0,1.2187875509262085,0.0,0.0
1741043562,213986687,,0.0,0.0,1.5295213460922241,0.0,0.0
1741043562,234370398,,0.0,0.0,1.6330993175506592,0.0,0.0
1741043562,256000907,,0.0,0.0,1.6848883628845215,0.0,0.0
1741043562,275659714,,0.0,0.0,1.7366772890090942,0.0,0.0
1741043562,295677565,,0.0,0.0,1.8402552604675293,0.0,0.0
1741043562,360476739,,0.04765055701136589,0.0,1.8402552604675293,0.0,0.0
1741043562,368402042,,0.08992084860801697,0.0,1.8402552604675293,0.0,0.0
1741043562,381586827,,0.1251373589038849,0.0,1.8402552604675293,0.0,0.0
1741043562,389925606,,0.14275610446929932,0.0,1.8402552604675293,0.0,0.0
1741043562,400155798,,0.16388601064682007,0.0,1.8402552604675293,0.0,0.0
1741043562,410747818,,0.1815047562122345,0.0,1.8402552604675293,0.0,0.0
1741043562,431362796,,0.2132100909948349,0.0,1.8402552604675293,0.0,0.0
1741043562,443191853,,0.23081834614276886,0.0,1.8402552604675293,0.0,0.0
1741043562,452453683,,0.23433999717235565,0.0,1.8402552604675293,0.0,0.0
1741043562,465344512,,0.24842660129070282,0.0,1.8402552604675293,0.0,0.0
1741043562,484341360,,0.26604533195495605,0.0,1.8402552604675293,0.0,0.0
1741043562,496068817,,0.2871752381324768,0.0,1.8402552604675293,0.0,0.0
1741043562,516550961,,0.31183725595474243,0.0,1.8402552604675293,0.0,0.0
1741043562,525895159,,0.33648881316185,0.0,1.8402552604675293,0.0,0.0
1741043562,537037361,,0.3400000035762787,0.0,1.8402552604675293,0.0,0.0
1741043562,577125417,,0.3400000035762787,0.0,1.6330993175506592,0.0,0.0
1741043562,629628136,,0.3400000035762787,0.0,1.6330993175506592,0.0,0.0
1741043562,680777848,,0.3400000035762787,0.0,1.6330993175506592,0.0,0.0
1741043562,732291980,,0.3400000035762787,0.0,1.6330993175506592,0.0,0.0
1741043562,784187653,,0.3400000035762787,0.0,1.5295213460922241,0.0,0.0
1741043562,804562276,,0.3400000035762787,0.0,1.3741543292999268,0.0,0.0
1741043562,835121331,,0.3400000035762787,0.0,1.322365403175354,0.0,0.0
1741043562,886368644,,0.3400000035762787,0.0,1.322365403175354,0.0,0.0
1741043562,947360577,,0.3400000035762787,0.0,1.5295213460922241,0.0,0.0
1741043562,957902612,,0.3400000035762787,0.0,1.6330993175506592,0.0,0.0
1741043563,9434025,,0.3400000035762787,0.0,1.6330993175506592,0.0,0.0
1741043563,72202072,,-0.008891434408724308,0.0,1.6330993175506592,0.0,0.0
1741043563,81398269,,0.0,0.0,1.6330993175506592,0.0,0.0
