# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.5700,-2.6300,0.6801,0.6801
-3.5200,-2.6300,0.6708,0.6708
-3.4700,-2.5800,0.6801,0.6801
-3.4200,-2.5800,0.6801,0.6801
-3.3700,-2.5300,0.6671,0.6671
-3.3200,-2.4800,0.6325,0.6325
-3.2700,-2.4300,0.6042,0.6042
-3.2200,-2.4300,0.6185,0.6185
-3.1700,-2.4300,0.6325,0.6325
-3.1200,-2.3800,0.6021,0.6021
-3.0700,-2.3800,0.6083,0.6083
-3.0200,-2.3300,0.5701,0.5701
-2.9700,-2.3300,0.5852,0.5852
-2.9200,-2.2800,0.5500,0.5500
-2.8700,-2.2300,0.5000,0.5000
-2.8200,-2.2300,0.5025,0.5025
-2.7700,-2.2300,0.5099,0.5099
-2.7200,-2.1800,0.4743,0.4743
-2.6700,-2.1800,0.4924,0.4924
-2.6200,-2.1300,0.4528,0.4528
-2.5700,-2.1300,0.4610,0.4610
-2.5200,-2.1300,0.4743,0.4743
-2.4700,-2.0800,0.4472,0.4472
-2.4200,-2.0300,0.4301,0.4301
-2.3700,-1.9800,0.4243,0.4243
-2.3200,-1.9800,0.4610,0.4610
-2.2700,-1.9300,0.4610,0.4610
-2.2200,-1.8800,0.4472,0.4472
